"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1d42, seq=3514/47629, ttl=64 (reply in 2)"
"2","0.215629","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x1d42, seq=3514/47629, ttl=61 (request in 1)"
"3","1.217474","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1e42, seq=3515/47885, ttl=64 (reply in 4)"
"4","1.422809","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x1e42, seq=3515/47885, ttl=61 (request in 3)"
"5","2.425065","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1f42, seq=3516/48141, ttl=64 (reply in 6)"
"6","2.629180","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x1f42, seq=3516/48141, ttl=61 (request in 5)"
"7","3.630948","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2042, seq=3517/48397, ttl=64 (reply in 8)"
"8","3.819572","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x2042, seq=3517/48397, ttl=61 (request in 7)"
"9","4.578617","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"10","4.734485","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"11","4.820720","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2242, seq=3518/48653, ttl=64 (reply in 12)"
"12","5.013899","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x2242, seq=3518/48653, ttl=61 (request in 11)"
"13","6.015427","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2342, seq=3519/48909, ttl=64 (reply in 14)"
"14","6.203581","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x2342, seq=3519/48909, ttl=61 (request in 13)"
"15","7.205156","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2442, seq=3520/49165, ttl=64 (reply in 16)"
"16","7.396390","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x2442, seq=3520/49165, ttl=61 (request in 15)"
"17","8.398229","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2542, seq=3521/49421, ttl=64 (no response found!)"
"18","10.399216","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2742, seq=3522/49677, ttl=64 (no response found!)"
"19","12.399671","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2942, seq=3523/49933, ttl=64 (no response found!)"
"20","14.311226","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"21","14.400677","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2b42, seq=3524/50189, ttl=64 (no response found!)"
"22","14.588507","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"23","16.401409","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2d42, seq=3525/50445, ttl=64 (no response found!)"
"24","16.404583","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"25","17.406363","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2e42, seq=3526/50701, ttl=64 (no response found!)"
"26","17.413087","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"27","18.414172","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2f42, seq=3527/50957, ttl=64 (no response found!)"
"28","18.423289","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"29","19.425070","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3042, seq=3528/51213, ttl=64 (no response found!)"
"30","19.433358","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"31","20.435256","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3142, seq=3529/51469, ttl=64 (no response found!)"
"32","20.444948","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"33","21.445447","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3242, seq=3530/51725, ttl=64 (no response found!)"
"34","21.455828","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"35","22.456633","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3342, seq=3531/51981, ttl=64 (no response found!)"
"36","22.457654","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"37","23.394639","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"38","23.458735","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3442, seq=3532/52237, ttl=64 (no response found!)"
"39","23.469094","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"40","24.470168","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3542, seq=3533/52493, ttl=64 (no response found!)"
"41","24.480844","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"42","24.574320","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"43","25.481887","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3642, seq=3534/52749, ttl=64 (reply in 44)"
"44","25.697644","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x3642, seq=3534/52749, ttl=60 (request in 43)"
"45","26.699557","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3742, seq=3535/53005, ttl=64 (reply in 46)"
"46","26.952349","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x3742, seq=3535/53005, ttl=60 (request in 45)"
"47","27.211303","ca:01:38:f4:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","350","Device ID: R1  Port ID: FastEthernet0/0  "
"48","27.953368","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3942, seq=3536/53261, ttl=64 (reply in 49)"
"49","28.125885","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x3942, seq=3536/53261, ttl=60 (request in 48)"
"50","29.127116","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3a42, seq=3537/53517, ttl=64 (reply in 51)"
"51","29.300332","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x3a42, seq=3537/53517, ttl=60 (request in 50)"
"52","30.301936","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3b42, seq=3538/53773, ttl=64 (reply in 53)"
"53","30.375311","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x3b42, seq=3538/53773, ttl=60 (request in 52)"
"54","31.376434","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3c42, seq=3539/54029, ttl=64 (reply in 55)"
"55","31.530001","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x3c42, seq=3539/54029, ttl=60 (request in 54)"
"56","32.531825","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3d42, seq=3540/54285, ttl=64 (reply in 58)"
"57","32.574464","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"58","32.698295","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x3d42, seq=3540/54285, ttl=60 (request in 56)"
"59","33.699383","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x3e42, seq=3541/54541, ttl=64 (reply in 60)"
"60","33.754570","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x3e42, seq=3541/54541, ttl=60 (request in 59)"
"61","34.600703","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"62","34.756129","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4042, seq=3542/54797, ttl=64 (reply in 63)"
"63","34.972758","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4042, seq=3542/54797, ttl=60 (request in 62)"
"64","35.973245","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4142, seq=3543/55053, ttl=64 (reply in 65)"
"65","36.097874","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4142, seq=3543/55053, ttl=60 (request in 64)"
"66","37.098979","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4242, seq=3544/55309, ttl=64 (reply in 67)"
"67","37.202543","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4242, seq=3544/55309, ttl=60 (request in 66)"
"68","38.203285","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4342, seq=3545/55565, ttl=64 (reply in 69)"
"69","38.286301","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4342, seq=3545/55565, ttl=60 (request in 68)"
"70","39.288401","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4442, seq=3546/55821, ttl=64 (reply in 71)"
"71","39.424069","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4442, seq=3546/55821, ttl=60 (request in 70)"
"72","40.425104","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4542, seq=3547/56077, ttl=64 (reply in 73)"
"73","40.597772","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4542, seq=3547/56077, ttl=60 (request in 72)"
"74","41.598800","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4642, seq=3548/56333, ttl=64 (reply in 75)"
"75","41.774577","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4642, seq=3548/56333, ttl=60 (request in 74)"
"76","42.496553","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"77","42.775410","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4842, seq=3549/56589, ttl=64 (reply in 78)"
"78","42.845123","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4842, seq=3549/56589, ttl=60 (request in 77)"
"79","43.846733","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4942, seq=3550/56845, ttl=64 (reply in 80)"
"80","43.938629","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4942, seq=3550/56845, ttl=60 (request in 79)"
"81","44.610599","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"82","44.939708","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4a42, seq=3551/57101, ttl=64 (reply in 83)"
"83","45.135662","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4a42, seq=3551/57101, ttl=60 (request in 82)"
"84","46.136511","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4b42, seq=3552/57357, ttl=64 (reply in 85)"
"85","46.278186","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4b42, seq=3552/57357, ttl=60 (request in 84)"
"86","47.279463","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4c42, seq=3553/57613, ttl=64 (reply in 87)"
"87","47.588740","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4c42, seq=3553/57613, ttl=60 (request in 86)"
"88","48.589560","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4d42, seq=3554/57869, ttl=64 (no response found!)"
"89","50.590750","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4f42, seq=3555/58125, ttl=64 (no response found!)"
