"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0d27, seq=4/1024, ttl=64 (reply in 2)"
"2","0.197438","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0d27, seq=4/1024, ttl=61 (request in 1)"
"3","1.199106","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0e27, seq=5/1280, ttl=64 (reply in 4)"
"4","1.387087","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0e27, seq=5/1280, ttl=61 (request in 3)"
"5","2.388557","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0f27, seq=6/1536, ttl=64 (reply in 6)"
"6","2.579303","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0f27, seq=6/1536, ttl=61 (request in 5)"
"7","3.460273","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"8","3.580170","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1127, seq=7/1792, ttl=64 (reply in 9)"
"9","3.771055","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x1127, seq=7/1792, ttl=61 (request in 8)"
"10","4.773101","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1227, seq=8/2048, ttl=64 (no response found!)"
"11","4.784454","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"12","5.662011","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"13","5.786489","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1327, seq=9/2304, ttl=64 (no response found!)"
"14","5.795793","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"15","6.797787","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1427, seq=10/2560, ttl=64 (no response found!)"
"16","6.804484","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"17","7.805975","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1527, seq=11/2816, ttl=64 (no response found!)"
"18","7.807966","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"19","8.808602","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1627, seq=12/3072, ttl=64 (no response found!)"
"20","8.810058","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"21","9.812004","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1727, seq=13/3328, ttl=64 (no response found!)"
"22","9.816006","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"23","10.816860","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1827, seq=14/3584, ttl=64 (no response found!)"
"24","10.819410","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"25","11.820033","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1927, seq=15/3840, ttl=64 (no response found!)"
"26","11.821130","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"27","12.754078","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"28","12.821418","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1a27, seq=16/4096, ttl=64 (no response found!)"
"29","12.826362","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"30","13.827677","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1b27, seq=17/4352, ttl=64 (no response found!)"
"31","13.837943","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"32","14.838630","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1c27, seq=18/4608, ttl=64 (reply in 33)"
"33","15.047455","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x1c27, seq=18/4608, ttl=61 (request in 32)"
"34","15.646171","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"35","16.047668","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1d27, seq=19/4864, ttl=64 (reply in 36)"
"36","16.255921","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x1d27, seq=19/4864, ttl=61 (request in 35)"
"37","17.256467","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1e27, seq=20/5120, ttl=64 (reply in 38)"
"38","17.453812","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x1e27, seq=20/5120, ttl=61 (request in 37)"
"39","18.455639","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2027, seq=21/5376, ttl=64 (reply in 40)"
"40","18.668403","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x2027, seq=21/5376, ttl=61 (request in 39)"
"41","19.669793","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2127, seq=22/5632, ttl=64 (reply in 42)"
"42","19.885097","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x2127, seq=22/5632, ttl=61 (request in 41)"
