"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x5c2a, seq=722/53762, ttl=64 (reply in 2)"
"2","0.177031","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x5c2a, seq=722/53762, ttl=60 (request in 1)"
"3","1.179086","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x5d2a, seq=723/54018, ttl=64 (reply in 4)"
"4","1.264456","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x5d2a, seq=723/54018, ttl=60 (request in 3)"
"5","2.265783","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x5e2a, seq=724/54274, ttl=64 (reply in 6)"
"6","2.323984","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x5e2a, seq=724/54274, ttl=60 (request in 5)"
"7","3.324428","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x5f2a, seq=725/54530, ttl=64 (reply in 8)"
"8","3.578261","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x5f2a, seq=725/54530, ttl=60 (request in 7)"
"9","4.579574","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x602a, seq=726/54786, ttl=64 (reply in 10)"
"10","4.759389","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x602a, seq=726/54786, ttl=60 (request in 9)"
"11","5.760147","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x622a, seq=727/55042, ttl=64 (reply in 12)"
"12","5.947276","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x622a, seq=727/55042, ttl=60 (request in 11)"
"13","6.948745","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x632a, seq=728/55298, ttl=64 (reply in 14)"
"14","7.093140","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x632a, seq=728/55298, ttl=60 (request in 13)"
"15","8.032108","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"16","8.094880","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x642a, seq=729/55554, ttl=64 (reply in 17)"
"17","8.351508","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x642a, seq=729/55554, ttl=60 (request in 16)"
"18","8.920102","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"19","9.352886","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x652a, seq=730/55810, ttl=64 (reply in 20)"
"20","9.497135","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x652a, seq=730/55810, ttl=60 (request in 19)"
"21","10.497997","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x662a, seq=731/56066, ttl=64 (reply in 22)"
"22","10.642217","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x662a, seq=731/56066, ttl=60 (request in 21)"
"23","11.643611","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x672a, seq=732/56322, ttl=64 (reply in 24)"
"24","11.881147","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x672a, seq=732/56322, ttl=60 (request in 23)"
"25","12.882176","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x692a, seq=733/56578, ttl=64 (reply in 26)"
"26","13.061770","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x692a, seq=733/56578, ttl=60 (request in 25)"
"27","14.063875","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x6a2a, seq=734/56834, ttl=64 (reply in 28)"
"28","14.208031","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x6a2a, seq=734/56834, ttl=60 (request in 27)"
"29","15.209941","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x6b2a, seq=735/57090, ttl=64 (reply in 30)"
"30","15.458203","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x6b2a, seq=735/57090, ttl=60 (request in 29)"
"31","16.459423","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x6c2a, seq=736/57346, ttl=64 (reply in 32)"
"32","16.612874","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x6c2a, seq=736/57346, ttl=60 (request in 31)"
