"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2e2d, seq=1346/16901, ttl=64 (reply in 2)"
"2","0.062018","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x2e2d, seq=1346/16901, ttl=60 (request in 1)"
"3","1.062465","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x2f2d, seq=1347/17157, ttl=64 (reply in 4)"
"4","1.104742","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x2f2d, seq=1347/17157, ttl=60 (request in 3)"
"5","2.106536","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x302d, seq=1348/17413, ttl=64 (reply in 6)"
"6","2.158363","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x302d, seq=1348/17413, ttl=60 (request in 5)"
"7","2.870873","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"8","3.159553","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x312d, seq=1349/17669, ttl=64 (no response found!)"
"9","3.161587","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"10","4.162098","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x322d, seq=1350/17925, ttl=64 (no response found!)"
"11","4.163027","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"12","5.163585","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x332d, seq=1351/18181, ttl=64 (no response found!)"
"13","5.169151","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"14","6.170802","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x342d, seq=1352/18437, ttl=64 (no response found!)"
"15","6.176761","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"16","6.498155","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"17","7.178438","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x352d, seq=1353/18693, ttl=64 (no response found!)"
"18","7.182341","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"19","8.852428","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x372d, seq=1354/18949, ttl=64 (no response found!)"
"20","8.858019","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"21","9.858601","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x382d, seq=1355/19205, ttl=64 (no response found!)"
"22","9.860517","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"23","10.861106","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x392d, seq=1356/19461, ttl=64 (no response found!)"
"24","10.865561","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
