"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf9a1, seq=10120/34855, ttl=64 (no response found!)"
"2","0.001483","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"3","1.003042","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xfaa1, seq=10121/35111, ttl=64 (no response found!)"
"4","1.009361","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"5","1.123397","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"6","1.680818","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"7","2.010566","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xfba1, seq=10122/35367, ttl=64 (no response found!)"
"8","2.022058","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"9","3.023025","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xfca1, seq=10123/35623, ttl=64 (no response found!)"
"10","3.027213","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"11","4.029011","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xfda1, seq=10124/35879, ttl=64 (no response found!)"
"12","4.038489","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"13","5.039651","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xfea1, seq=10125/36135, ttl=64 (no response found!)"
"14","5.046388","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"15","6.048215","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xffa1, seq=10126/36391, ttl=64 (no response found!)"
"16","8.049934","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x01a2, seq=10127/36647, ttl=64 (no response found!)"
"17","10.050742","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x03a2, seq=10128/36903, ttl=64 (no response found!)"
"18","11.002189","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"19","11.673529","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"20","12.051760","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x05a2, seq=10129/37159, ttl=64 (no response found!)"
"21","14.053011","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x07a2, seq=10130/37415, ttl=64 (no response found!)"
"22","16.054315","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x09a2, seq=10131/37671, ttl=64 (no response found!)"
"23","18.054715","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0ba2, seq=10132/37927, ttl=64 (reply in 24)"
"24","18.693474","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0ba2, seq=10132/37927, ttl=61 (request in 23)"
"25","20.052668","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"26","20.056212","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0da2, seq=10133/38183, ttl=64 (reply in 27)"
