"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe6b1, seq=30328/30838, ttl=64 (no response found!)"
"2","0.750341","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"3","2.001369","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe8b1, seq=30329/31094, ttl=64 (no response found!)"
"4","4.002126","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xeab1, seq=30330/31350, ttl=64 (no response found!)"
"5","6.003101","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xecb1, seq=30331/31606, ttl=64 (no response found!)"
"6","8.003818","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xeeb1, seq=30332/31862, ttl=64 (no response found!)"
"7","9.214943","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"8","10.004923","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf0b1, seq=30333/32118, ttl=64 (reply in 9)"
"9","10.266072","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf0b1, seq=30333/32118, ttl=60 (request in 8)"
"10","10.401104","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"11","11.267501","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf1b1, seq=30334/32374, ttl=64 (reply in 12)"
"12","11.564382","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf1b1, seq=30334/32374, ttl=60 (request in 11)"
"13","12.565814","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf3b1, seq=30335/32630, ttl=64 (reply in 14)"
"14","12.811930","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf3b1, seq=30335/32630, ttl=60 (request in 13)"
"15","13.814052","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf4b1, seq=30336/32886, ttl=64 (reply in 16)"
"16","14.012748","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf4b1, seq=30336/32886, ttl=60 (request in 15)"
"17","15.015413","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf5b1, seq=30337/33142, ttl=64 (reply in 18)"
"18","15.253808","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf5b1, seq=30337/33142, ttl=60 (request in 17)"
"19","16.255367","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf6b1, seq=30338/33398, ttl=64 (reply in 20)"
"20","16.520254","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf6b1, seq=30338/33398, ttl=60 (request in 19)"
"21","17.521511","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf8b1, seq=30339/33654, ttl=64 (reply in 22)"
"22","17.744097","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf8b1, seq=30339/33654, ttl=60 (request in 21)"
"23","18.745653","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf9b1, seq=30340/33910, ttl=64 (reply in 24)"
"24","19.040999","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf9b1, seq=30340/33910, ttl=60 (request in 23)"
"25","19.205438","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"26","20.042244","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xfab1, seq=30341/34166, ttl=64 (reply in 27)"
"27","20.309991","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xfab1, seq=30341/34166, ttl=60 (request in 26)"
