"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xec40, seq=7016/26651, ttl=64 (no response found!)"
"2","0.009359","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"3","1.011112","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xed40, seq=7017/26907, ttl=64 (no response found!)"
"4","1.019607","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"5","2.020322","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xee40, seq=7018/27163, ttl=64 (no response found!)"
"6","2.022906","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"7","3.023154","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xef40, seq=7019/27419, ttl=64 (no response found!)"
"8","3.034282","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"9","3.034323","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"10","4.035457","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf040, seq=7020/27675, ttl=64 (reply in 11)"
"11","4.105701","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf040, seq=7020/27675, ttl=60 (request in 10)"
"12","5.107795","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf140, seq=7021/27931, ttl=64 (reply in 13)"
"13","5.159782","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf140, seq=7021/27931, ttl=60 (request in 12)"
"14","6.161100","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf240, seq=7022/28187, ttl=64 (reply in 15)"
"15","6.205080","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf240, seq=7022/28187, ttl=60 (request in 14)"
"16","7.206439","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf340, seq=7023/28443, ttl=64 (reply in 17)"
"17","7.256885","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf340, seq=7023/28443, ttl=60 (request in 16)"
"18","7.946498","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"19","8.258337","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf440, seq=7024/28699, ttl=64 (reply in 20)"
"20","8.327295","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf440, seq=7024/28699, ttl=60 (request in 19)"
"21","9.328990","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf540, seq=7025/28955, ttl=64 (reply in 22)"
"22","9.380383","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf540, seq=7025/28955, ttl=60 (request in 21)"
"23","10.381401","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf640, seq=7026/29211, ttl=64 (reply in 24)"
"24","10.432520","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf640, seq=7026/29211, ttl=60 (request in 23)"
"25","11.434229","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf740, seq=7027/29467, ttl=64 (reply in 26)"
"26","11.485220","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf740, seq=7027/29467, ttl=60 (request in 25)"
"27","12.061038","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"28","12.486951","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf840, seq=7028/29723, ttl=64 (reply in 29)"
"29","12.534207","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf840, seq=7028/29723, ttl=60 (request in 28)"
"30","13.535561","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xf940, seq=7029/29979, ttl=64 (reply in 31)"
"31","13.586222","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xf940, seq=7029/29979, ttl=60 (request in 30)"
"32","14.587415","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xfa40, seq=7030/30235, ttl=64 (reply in 33)"
"33","14.636620","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xfa40, seq=7030/30235, ttl=60 (request in 32)"
"34","15.638370","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xfb40, seq=7031/30491, ttl=64 (reply in 35)"
"35","15.689007","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xfb40, seq=7031/30491, ttl=60 (request in 34)"
"36","16.689837","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xfc40, seq=7032/30747, ttl=64 (reply in 37)"
"37","16.741364","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xfc40, seq=7032/30747, ttl=60 (request in 36)"
"38","17.742421","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xfe40, seq=7033/31003, ttl=64 (reply in 39)"
"39","17.803037","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xfe40, seq=7033/31003, ttl=60 (request in 38)"
"40","17.937133","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"41","18.803763","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xff40, seq=7034/31259, ttl=64 (reply in 42)"
"42","18.848215","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xff40, seq=7034/31259, ttl=60 (request in 41)"
"43","19.849379","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0041, seq=7035/31515, ttl=64 (reply in 44)"
"44","19.897410","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0041, seq=7035/31515, ttl=60 (request in 43)"
"45","20.899247","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0141, seq=7036/31771, ttl=64 (reply in 46)"
"46","20.953878","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0141, seq=7036/31771, ttl=60 (request in 45)"
"47","21.213138","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"48","21.955901","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0241, seq=7037/32027, ttl=64 (reply in 49)"
"49","22.016706","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0241, seq=7037/32027, ttl=60 (request in 48)"
"50","23.018143","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0341, seq=7038/32283, ttl=64 (reply in 51)"
"51","23.076317","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0341, seq=7038/32283, ttl=60 (request in 50)"
"52","24.078156","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0441, seq=7039/32539, ttl=64 (reply in 53)"
"53","24.136679","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0441, seq=7039/32539, ttl=60 (request in 52)"
"54","25.137741","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0541, seq=7040/32795, ttl=64 (reply in 55)"
"55","25.192201","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0541, seq=7040/32795, ttl=60 (request in 54)"
"56","26.194226","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0641, seq=7041/33051, ttl=64 (reply in 57)"
"57","26.254511","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0641, seq=7041/33051, ttl=60 (request in 56)"
"58","27.256230","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0741, seq=7042/33307, ttl=64 (reply in 59)"
"59","27.316732","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0741, seq=7042/33307, ttl=60 (request in 58)"
"60","27.925242","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"61","28.317981","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0841, seq=7043/33563, ttl=64 (reply in 62)"
"62","28.381346","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0841, seq=7043/33563, ttl=60 (request in 61)"
"63","29.382464","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0941, seq=7044/33819, ttl=64 (reply in 64)"
"64","29.425651","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0941, seq=7044/33819, ttl=60 (request in 63)"
"65","30.427730","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0a41, seq=7045/34075, ttl=64 (reply in 66)"
"66","30.474207","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0a41, seq=7045/34075, ttl=60 (request in 65)"
"67","31.195287","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"68","31.475333","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0b41, seq=7046/34331, ttl=64 (reply in 69)"
"69","31.525555","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0b41, seq=7046/34331, ttl=60 (request in 68)"
"70","32.527518","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0c41, seq=7047/34587, ttl=64 (reply in 71)"
"71","32.580804","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0c41, seq=7047/34587, ttl=60 (request in 70)"
"72","33.582694","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0d41, seq=7048/34843, ttl=64 (reply in 73)"
"73","33.654547","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0d41, seq=7048/34843, ttl=60 (request in 72)"
"74","34.656890","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0e41, seq=7049/35099, ttl=64 (reply in 75)"
"75","34.701336","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0e41, seq=7049/35099, ttl=60 (request in 74)"
"76","35.702162","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x0f41, seq=7050/35355, ttl=64 (reply in 77)"
"77","35.743767","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x0f41, seq=7050/35355, ttl=60 (request in 76)"
"78","36.745115","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1141, seq=7051/35611, ttl=64 (reply in 79)"
"79","36.808833","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x1141, seq=7051/35611, ttl=60 (request in 78)"
"80","37.810164","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1241, seq=7052/35867, ttl=64 (reply in 81)"
"81","37.853849","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x1241, seq=7052/35867, ttl=60 (request in 80)"
"82","37.926785","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"83","38.855155","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x1341, seq=7053/36123, ttl=64 (reply in 84)"
"84","38.906383","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x1341, seq=7053/36123, ttl=60 (request in 83)"
